Russian,English
казаться,seem
далеко,long away
нужный,the right one
маленький,small
российский,Russian
решение,solution
народ,people
рассказывать,tell
власть,power
сразу,straightaway
ночь,night
полный,full
никакой,no
главный,main
оно,it
дверь,Door
часто,often
уровень,level
создавать,create
закон,law
развитие,development
программа,program
начало,Start
написать,Write
отец,father
нога,leg
вместе,together
старый,old
момент,moment
помощь,help
цель,goal
следующий,next
число,number
подобный,like
разный,different
тысяча,one thousand
про,pro
общий,general
минута,minute
информация,information
кроме,Besides
смочь,Small
процесс,process
автор,author
форма,the form
голос,voice
месяц,month
мысль,thought
свет,light
школа,school
действие,action
всякий,any
качество,quality
ситуация,situation
область,region
внимание,Attention
следовать,to follow
дорога,road
использовать,use
собственный,own
замечать,notice
взгляд,sight
условие,condition
молодой,young
мужчина,the male
предлагать,offer
снова,again
любовь,love
связь,connection
важный,important
ждать,wait
вдруг,suddenly
игра,the game
читать,read
скоро,soon
организация,organization
статья,article
средство,means
душа,soul
входить,enter
пытаться,try
основной,basic
тело,body
посмотреть,look
жена,wife
открывать,open
пора,It's time
узнавать,learn
письмо,letter
общество,society
состояние,condition
настоящий,real
вечер,evening
существовать,exist
назад,back
смысл,meaning
семья,a family
мера,measure
государство,state
совершенно,Absolutely
вещь,thing
простой,simple
оставлять,leave
утро,morning
действительно,really
мать,mother
девушка,young woman
затем,then
вести,news
стол,table
причина,cause
проект,project
улица,the outside
рынок,market
играть,play
государственный,state
происходить,take place
помнить,remember
называть,call
точка,dot
нельзя,it is forbidden
начинаться,start off
данный,the
подходить,suit
опять,again
тема,topic
равный,equal
неделя,a week
хотеться,want
вызывать,call
комната,room
иной,Other
белый,white
наконец,finally
куда,where
известный,famous
центр,center
цена,price
сын,son
забывать,forget
деятельность,activity
особенно,especially
идея,idea
против,against
правило,Rule
советский,Soviet
лучший,best
движение,traffic
заниматься,study
огромный,huge
среди,among
мама,mother
великий,great
количество,amount
чувство,feeling
слишком,too much
иногда,sometimes
смерть,death
лежать,lie
труд,work
вспоминать,recall
пять,five
задача,a task
бывать,to be
получаться,turn out
достаточно,enough
сильный,strong
мнение,opinion
быстро,fast
чувствовать,feel
третий,third
чёрный,the black
пример,example
готовый,ready
положение,position
порядок,order
продолжать,continue
век,century
поскольку,because the
муж,husband
речь,speech
политический,political
представлять,introduce
стена,wall
попадать,get
слышать,hear
подумать,Think
ходить,walk
окно,window
рядом,beside
план,plan
тип,type of
оба,both
совет,advice
современный,modern
удаваться,A success
приезжать,come
плохой,bad
из-за,due to
опыт,an experience
сердце,heart
наука,the science
сообщение,message
управление,control
данные,data
около,near
интерес,interest
просить,ask
газета,newspaper
интересный,interesting
необходимый,necessary
материал,material
роль,role
вполне,quite
объяснять,explain
рано,early
обращаться,address
поставить,put
армия,army
связывать,bind
точно,Exactly
четыре,four
долго,for a long time
различный,different
либо,or
социальный,social
менее,less
событие,event
искать,search
большинство,majority
правда,truth
красный,red
давно,for a long time
легко,easily
правительство,government
бояться,afraid
суд,court
президент,the president
возможно,Maybe
занимать,take
военный,military
рубль,ruble
целый,whole
фильм,movie
умирать,die
бизнес,business
обычно,usually
спать,sleep
миллион,million
сообщать,Report
культура,Culture
текст,text
носить,wear
брать,take
документ,document
снимать,take off
член,member
телефон,telephone
относиться,relate
выбирать,to choose
определять,Determine
способ,way
течение,flow
счёт,check
живой,alive
вставать,get up
случаться,happen
родитель,parent
небольшой,small
купить,buy
разговор,talk
сей,this
единственный,the only one
метр,meter
принцип,principle
сайт,website
правый,right
немного,a little
партия,the consignment
образование,education
сколько,How many
зачем,why
приносить,bring
наверное,maybe
убивать,kill
период,period
кстати,by the way
пара,pair
ряд,row
квартира,flat
значение,meaning
внутренний,interior
позволять,let
далее,Further
успевать,be on time
возможный,possible
желание,a wish
слушать,listen
поднимать,lift up
номер,room
бросать,throw
чуть,A little
очередь,turn
политика,politics
класс,Class
брат,brother
собираться,going to
требовать,demand
отмечать,note
производство,production
район,area
основа,the foundation
верить,believe
изменение,change
близкий,close
человеческий,human
довольно,enough
экономический,economic
факт,fact
строить,build
местный,local
определённый,definite
небо,sky
создание,creation
направление,direction
особый,special
предприятие,company
шаг,step
добрый,kind
поле,field
ход,move
исследование,study
остальной,The rest
пол,floor
команда,team
подниматься,get up
общественный,public
мальчик,boy
заставлять,force
туда,there
пусть,let
метод,method
мало,few
встреча,meeting
сначала,first
сон,dream
отдавать,give away
служба,service
останавливаться,stop
воздух,air
кровь,blood
зрение,vision
врач,doctor
повод,occasion
рост,growth
ехать,drive
встречать,meet
нравиться,like
знание,knowledge
какой-то,Someone
всё-таки,Still
население,population
палец,finger
десять,ten
обычный,ordinary
орган,organ
доллар,dollar
держать,Keep
похожий,similar
устанавливать,install
участие,participation
дорогой,expensive
реальный,real
род,genus
наиболее,most
девочка,girl
крупный,large
море,sea
как-то,Somehow
хоть,though
природа,nature
магазин,score
улыбаться,to smile
весьма,Very
использование,usage
больший,more
домой,home
объект,an object
память,memory
свобода,freedom
борьба,struggle
личный,private
касаться,touch
причём,Moreover
необходимо,necessary
название,title
проводить,conduct
отдельный,separate
предмет,subject
добавлять,add
плечо,shoulder
музыка,music
самолёт,airplane
позиция,position
стараться,try
характер,character
указывать,indicate
размер,the size
пить,drink
средний,average
продукт,product
герой,hero
собирать,gather
серьёзный,serious
солнце,sun
передавать,transmit
дух,spirit
сеть,net
представитель,representative
лес,forest
журнал,magazine
март,March
национальный,National
территория,territory
искусство,art
американский,American
словно,Like
участник,participant
впрочем,however
вариант,option
свободный,free
судьба,fate
срок,term
институт,Institute
переходить,cross
гость,the guest
международный,international
действовать,act
способный,capable
практически,practically
союз,Union
отказываться,refuse
Интернет,Internet
песня,song
поздний,late
лучше,better
ум,mind
степень,degree
успех,success
парень,guy
соглашаться,agree
кто-то,somebody
товар,product
надеяться,hope
предложение,sentence
обнаруживать,find
река,river
обеспечивать,provide
фирма,firm
гражданин,citizen
составлять,make up
московский,Moscow
заявлять,declare
товарищ,comrade
нормальный,normal
Европа,Europe
картина,painting
сознание,consciousness
апрель,April
полностью,fully
сильно,strongly
обращать,Turn
источник,source
директор,director
граница,the border
состоять,consist
вместо,instead of
закрывать,close
половина,half
операция,operation
поступать,to act
пробовать,try
выбор,choice
оценка,grade
огонь,the fire
модель,model
специалист,specialist
собака,dog
компьютер,a computer
красивый,beautiful
технология,technology
дерево,wood
выход,exit
научный,scientific
мировой,world
гора,mountain
детский,Children
уметь,be able to
желать,want
берег,Coast
корабль,ship
широкий,wide
прекрасный,beautiful
ибо,for
постоянно,constantly
рабочий,worker
внешний,external
литература,literature
тяжёлый,heavy
среда,Wednesday
сотрудник,employee
услышать,hear
сложный,difficult
зал,Hall
войско,army
структура,structure
бой,the battle
несмотря,despite
короткий,short
странный,strange
начальник,Chief
низкий,short
край,Territory
ошибка,error
церковь,church
сюда,here
будущее,future
прошлый,last
бумага,paper
поддержка,support
пользоваться,use
линия,line
быстрый,quick
защита,protection
счастье,happiness
всего,Total
роман,novel
выглядеть,to look like
иметься,to be
ветер,wind
состав,compound
возникать,arise
английский,English
высший,higher
курс,well
теория,theory
разве,Is it
вокруг,around
длинный,long
бывший,former
пространство,space
учиться,to study
возраст,age
понятие,Concept
чистый,clean
потерять,lose
поведение,behavior
спина,back
трудно,difficult
услуга,service
продавать,sell
служить,serve
оружие,weapon
США,USA
направлять,guide
страх,fear
страница,page
папа,dad
враг,enemy
поиск,Search
двадцать,twenty
руководитель,supervisor
экономика,economy
столь,so
откуда,where
гораздо,much
хозяин,master
страшный,scary
ожидать,expect
камень,stone
рассказ,story
звук,sound
вновь,again
солдат,soldier
надежда,hope
карта,map
господин,Mr.
летать,fly
цвет,color
сесть,Sit down
специальный,special
попытка,attempt
круг,a circle
однажды,once
устраивать,arrange
комментарий,comment
посылать,send
глава,chapter
удар,hit
клиент,client
иначе,otherwise
крайний,extreme
признавать,to admit
доктор,doctor
достигать,achieve
исчезать,disappear
означать,mean
глядеть,look
показываться,show
изменять,change
дочь,daughter
отправлять,send
республика,republic
ставить,put
пожалуйста,please
поехать,Go
единый,single
волос,hair
совершать,make
Германия,Germany
называться,To be called
отсутствие,absence
прямой,straight
процент,percent
масса,weight
база,base
долгий,long
необходимость,need
вера,Vera
студент,student
анализ,analysis
отправляться,Go
здание,building
ребята,guys
конкретный,specific
угол,corner
скорость,speed
требование,requirement
будто,Like
бежать,run
новость,news
открытый,open
список,list
представление,performance
учитель,teacher
вывод,conclusion
договор,Treaty
положить,put
энергия,energy
зависеть,depend
немецкий,Deutsch
обязательно,necessarily
боль,pain
примерно,about
безопасность,safety
май,May
плохо,poorly
видно,it is seen
удовольствие,pleasure
некий,Some
способность,ability
прежде,Before
произносить,pronounce
переставать,stop
дома,at home
ощущение,Sensation
адрес,address
западный,west
писатель,writer
противник,enemy
сфера,sphere
любимый,Darling
звезда,star
проверять,check
спасибо,Thanks
вперёд,forward
знак,sign
влияние,influence
вовсе,At all
уверенный,confident
грудь,breast
двор,yard
никак,no way
описывать,describe
банк,bank
контроль,control
пункт,paragraph
радость,joy
чужой,stranger
функция,function
завтра,tomorrow
впечатление,impression
задавать,set
содержание,content
сохранять,save
основание,base
заканчивать,end
объём,volume
вчера,yesterday
прощать,forgive
прямо,directly
режим,mode
воля,will
километр,kilometer
расти,grow
звать,call for
правильный,right
личность,Personality
шесть,six
одновременно,simultaneously
здоровье,health
рот,mouth
регион,region
предел,limit
может,maybe
физический,physical
читатель,reader
старик,old man
практика,practice
знакомый,familiar
медленный,slow
боевой,combat
победа,victory
хватать,grab
элемент,element
январь,January
руководство,management
естественно,naturally
постоянный,constant
женский,female
встречаться,meet
стоимость,price
август,August
очередной,Another
счастливый,happy
секунда,second
житель,a citizen
множество,lots of
праздник,holiday
сумма,sum
видимо,Apparently
кажется,seems
командир,commander
сцена,scene
насколько,How much
техника,technique
подготовка,preparation
исторический,historical
лёгкий,light
итог,result
сожаление,regret
ухо,ear
занятие,occupation
соответствующий,corresponding
существование,Existence
приглашать,invite
мужик,man
городской,urban
октябрь,October
впервые,first
недавно,recently
нос,nose
существо,creature
генерал,General
есть,there is
значить,to mean
благодаря,thanks to
обладать,have
многое,much
сентябрь,September
